appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2231978_38004,2231978,38004,853,235,2012-07-03,Aurélien Joachim,CLQ,0,0,2,0,90
2233748_79232,2233748,79232,8841,2698,2012-07-05,Ruslan Abyshov,ELQ,0,0,0,0,90
2234413_42792,2234413,42792,6251,465,2012-07-05,Sander Puri,ELQ,0,0,0,0,45
2234418_73333,2234418,73333,1274,76,2012-07-05,Vegar Hedenstad,ELQ,0,0,0,0,90
2234421_122011,2234421,122011,195,3008,2012-07-05,Markus Henriksen,ELQ,0,0,0,1,90
2234421_146889,2234421,146889,195,2778,2012-07-05,Peter Ankersen,ELQ,1,0,0,0,90
2235539_28716,2235539,28716,282,7185,2012-07-05,Adi Adilovic,ELQ,0,0,0,0,90
2235539_69445,2235539,69445,282,19771,2012-07-05,Ivan Sesar,ELQ,1,0,0,1,90
2235545_19409,2235545,19409,317,200,2012-07-05,Willem Janssen,ELQ,0,0,0,0,45
2235545_30003,2235545,30003,317,317,2012-07-05,Wout Brama,ELQ,0,0,0,0,90
2235545_30667,2235545,30667,317,317,2012-07-05,Robbert Schilder,ELQ,0,0,2,1,90
2235545_34129,2235545,34129,317,1435,2012-07-05,Wesley Verhoek,ELQ,0,0,0,0,90
2235545_36139,2235545,36139,317,36,2012-07-05,Dušan Tadić,ELQ,0,0,1,0,45
2235545_4520,2235545,4520,317,317,2012-07-05,Peter Wisgerhof,ELQ,0,0,0,0,90
2235545_4582,2235545,4582,317,317,2012-07-05,Sander Boschker,ELQ,0,0,0,0,90
2235545_47740,2235545,47740,317,1426,2012-07-05,Nils Röseler,ELQ,0,0,0,0,90
2235545_59631,2235545,59631,317,6890,2012-07-05,Nacer Chadli,ELQ,0,0,0,3,45
2235545_60312,2235545,60312,317,1426,2012-07-05,Joshua John,ELQ,0,0,1,1,45
2235545_63342,2235545,63342,317,11282,2012-07-05,Leroy Fer,ELQ,0,0,0,0,26
2235545_63356,2235545,63356,317,1304,2012-07-05,Tim Breukers,ELQ,0,0,0,0,90
2235545_80073,2235545,80073,317,11282,2012-07-05,Glynor Plet,ELQ,0,0,2,1,90
2235545_84260,2235545,84260,317,403,2012-07-05,Nicky Kuiper,ELQ,0,0,0,0,64
2235769_75109,2235769,75109,11907,2227,2012-07-05,Célio Santos,ELQ,0,0,0,0,90
2235777_63496,2235777,63496,3811,4128,2012-07-05,Vladimirs Kamess,ELQ,0,0,0,0,75
2234404_14940,2234404,14940,660,367,2012-07-09,Razvan Rat,UKRS,0,0,0,0,90
2234404_14942,2234404,14942,660,1390,2012-07-09,Darijo Srna,UKRS,0,0,0,1,90
2234404_15033,2234404,15033,2783,2783,2012-07-09,Velizar Dimitrov,UKRS,0,0,0,0,81
2234404_24000,2234404,24000,2783,10690,2012-07-09,Vyacheslav Checher,UKRS,1,0,0,0,90
2234404_24633,2234404,24633,660,660,2012-07-09,Eduardo,UKRS,0,0,0,0,25
2234404_26267,2234404,26267,660,281,2012-07-09,Fernandinho,UKRS,0,0,0,1,90
2234404_27108,2234404,27108,2783,2783,2012-07-09,Konstantinos Makridis,UKRS,0,0,0,0,90
2234404_39996,2234404,39996,660,660,2012-07-09,Andriy Pyatov,UKRS,0,0,0,0,90
2234404_43308,2234404,43308,2783,2783,2012-07-09,Denys Golaydo,UKRS,0,0,0,0,90
2234404_44357,2234404,44357,660,2477,2012-07-09,Oleksandr Kucher,UKRS,1,0,0,0,90
2234404_45812,2234404,45812,2783,128,2012-07-09,Djordje Lazic,UKRS,0,0,0,0,66
2234404_48974,2234404,48974,660,589,2012-07-09,Luiz Adriano,UKRS,0,0,1,0,65
2234404_51232,2234404,51232,2783,589,2012-07-09,Danilo,UKRS,0,0,0,0,45
2234404_52937,2234404,52937,660,660,2012-07-09,Ilsinho,UKRS,0,0,0,0,25
2234404_55734,2234404,55734,2783,3999,2012-07-09,Gevorg Ghazaryan,UKRS,0,0,0,0,90
2234404_55735,2234404,55735,660,46,2012-07-09,Henrikh Mkhitaryan,UKRS,0,0,0,0,90
2234404_59148,2234404,59148,2783,2727,2012-07-09,Oleksandr Volovyk,UKRS,2,0,0,0,85
2234404_59389,2234404,59389,2783,6992,2012-07-09,Mykola Morozyuk,UKRS,0,0,0,0,90
2234404_59411,2234404,59411,660,1083,2012-07-09,Marko Devic,UKRS,1,0,0,0,13
2234404_59970,2234404,59970,660,48332,2012-07-09,Taras Stepanenko,UKRS,1,0,0,0,90
2234404_60324,2234404,60324,2783,2783,2012-07-09,Gregory Nelson,UKRS,0,0,0,0,90
